timestamp,subject,activity,heart_rate,breathing_rate
11.71875,x001,Running,100.0,21.999999865718557
11.81640625,x001,Running,100.0,21.999999865718557
11.9140625,x001,Running,100.0,21.999999865718557
12.01171875,x001,Running,100.0,21.999999865718557
12.109375,x001,Running,100.07379375591296,22.07419036180187
12.20703125,x001,Running,100.17218543046357,22.17188011003827
12.3046875,x001,Running,100.26963103122044,22.269569858274668
12.40234375,x001,Running,100.3670766319773,22.367259606511062
12.5,x001,Running,100.46452223273415,22.46494935474746
12.59765625,x001,Running,100.56291390728477,22.56263910298386
12.6953125,x001,Running,100.66035950804162,22.660328851220257
12.79296875,x001,Running,100.7578051087985,22.75768289585447
12.890625,x001,Running,100.85525070955535,22.855372644090867
12.98828125,x001,Running,100.9526963103122,22.953062392327265
13.0859375,x001,Running,101.05108798486282,23.10144338449389
13.18359375,x001,Running,101.14853358561967,23.296822880966687
13.28125,x001,Running,101.24597918637653,23.492202377439483
13.37890625,x001,Running,101.3434247871334,23.687581873912276
13.4765625,x001,Running,101.44181646168401,23.882961370385072
13.57421875,x001,Running,101.53926206244087,24.078005163255682
13.671875,x001,Running,101.63670766319773,24.273384659728478
13.76953125,x001,Running,101.73415326395458,24.468764156201274
13.8671875,x001,Running,101.83159886471145,24.66414365267407
13.96484375,x001,Running,101.92999053926206,24.859523149146867
14.0625,x001,Running,102.0,25.027374950240333
14.16015625,x001,Running,102.0,25.12506469847673
14.2578125,x001,Running,102.0,25.22275444671313
14.35546875,x001,Running,102.0,25.320444194949527
14.453125,x001,Running,102.0,25.418133943185925
14.55078125,x001,Running,102.0,25.515487987820133
14.6484375,x001,Running,102.0,25.61317773605653
14.74609375,x001,Running,102.0,25.71086748429293
14.84375,x001,Running,102.0,25.808557232529328
14.94140625,x001,Running,102.0,25.906246980765726
15.0390625,x001,Running,102.0,26.007965172228367
15.13671875,x001,Running,102.0,26.203008965098977
15.234375,x001,Running,102.0,26.398388461571773
15.33203125,x001,Running,102.0,26.59376795804457
15.4296875,x001,Running,102.0,26.789147454517362
15.52734375,x001,Running,102.0,26.98452695099016
15.625,x001,Running,102.0,27.17957074386077
15.72265625,x001,Running,102.0,27.374950240333565
15.8203125,x001,Running,102.0,27.57032973680636
15.91796875,x001,Running,102.0,27.765709233279157
16.015625,x001,Running,102.0,27.961088729751953
16.11328125,x001,Running,102.07852412488174,28.000030347605637
16.2109375,x001,Running,102.1759697256386,28.000030347605637
16.30859375,x001,Running,102.27341532639547,28.000030347605637
16.40625,x001,Running,102.37086092715232,28.000030347605637
16.50390625,x001,Running,102.46830652790918,28.000030347605637
16.6015625,x001,Running,102.56669820245979,28.000030347605637
16.69921875,x001,Running,102.66414380321665,28.000030347605637
16.796875,x001,Running,102.76158940397352,28.000030347605637
16.89453125,x001,Running,102.85903500473037,28.000030347605637
16.9921875,x001,Running,102.95742667928099,28.000030347605637
